assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,known_name,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,price_change_percent,recoveries,red_cards,region,removed,saves,saves_per_90,scout_news_link,scout_risks,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,tackles,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,1997-10-08,3,128,True,True,100,100,3,0.54,31,198869,None,,0,0,-4,4,108.4,273,79,46,8.28,None,,1,2,2.0,1.5,1,0.51,0.09,0.96,0.17,0.45,7.31,1.32,0.08,Benjamin,1.0,247,81,6,1.08,0,False,29.0,356,121,11,False,133.2,342,130,,500,,2026-02-22T23:00:08.984090Z,51,224,30,p198869,0,0,None,0,,198869.jpg,3.6,109,38,0,21,0,241,False,0,0.0,,[],White,0.5,271,103,False,None,6,1.08,a,15,1,3,2021-07-30,48.0,338,109,32,356177,1759,412750,558,0.2,6.3,White,0
0,None,0,0,True,True,None,None,0,0,0,563324,None,,0,0,-3,3,0.0,499,183,0,0,None,,0,2,1.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Brayden,0.0,347,116,0,0,0,False,0.0,519,184,13,False,0.0,517,184,,0,,None,37,826,265,p563324,0,0,None,0,,563324.jpg,0.0,528,185,0,0,0,None,False,0,0,,[],Clarke,0.5,265,100,False,None,0,0,a,0,1,3,None,0.0,466,177,0,56028,1276,81169,576,0.0,0.0,Clarke,0
0,None,0,0,False,True,0,0,0,0,0,588793,None,,0,0,-1,1,0.0,554,208,0,0,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Maldini,0.0,408,151,0,0,0,False,0.0,567,208,14,False,0.0,565,208,,0,has joined Morecambe on loan for the rest of the season.,2025-09-22T21:14:30.857843Z,39,788,231,p588793,0,0,None,0,,588793.jpg,0.0,576,209,0,0,0,None,False,0,0,,[],Kacurri,0.1,504,179,False,None,0,0,u,0,1,3,None,0.0,522,203,0,10218,0,22765,16,0.0,0.0,Kacurri,0
0,2006-07-26,0,0,True,True,None,None,0,0,0,499167,None,,0,0,-3,3,0.0,497,181,0,0,None,,0,2,1.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Josh,0.0,345,114,0,0,0,False,0.0,518,183,15,False,0.0,516,183,,0,,None,37,824,263,p499167,0,0,None,0,,499167.jpg,0.0,527,184,0,0,0,241,False,0,0,,[],Nichols,0.3,348,127,False,None,0,0,a,0,1,3,2024-07-24,0.0,464,175,0,33020,288,33362,503,0.0,0.0,Nichols,0
8,2001-09-05,14,497,True,True,0,0,10,0.45,24,223340,2,,0,0,-2,2,725.9,12,12,163,7.35,2,,2,3,0.0,0.0,0,5.75,0.26,12.74,0.58,6.99,14.36,0.65,0.32,Bukayo,0.0,828,373,16,0.72,6,False,202.9,11,8,16,False,538.8,82,26,,1995,Achilles injury - Unknown return date,2026-03-30T10:00:10.614078Z,98,6,4,p223340,0,0,1,0,,223340.jpg,4.9,17,7,0,104,0,241,False,0,0.0,https://www.arsenal.com/news/arteta-provides-update-rice-saka-and-timber?utm_source=premier_league&utm_medium=referral&utm_campaign=fantasy&utm_content=injuries-flag,[],Saka,6.9,56,21,False,None,22,0.99,i,35,1,3,2018-11-28,762.0,9,3,133,4151824,392,5243271,28696,0.0,13.6,Saka,1
6,1998-12-17,5,265,True,True,100,75,4,0.31,13,184029,4,,0,0,-2,2,487.5,47,41,89,6.91,None,,1,3,2.0,1.1,2,3.26,0.25,4.27,0.33,1.01,14.25,1.11,0.08,Martin,1.0,270,131,13,1.01,1,False,90.0,145,77,17,False,267.8,240,102,,1160,,2026-04-10T15:30:09.519310Z,78,18,13,p184029,0,0,3,0,,184029.jpg,3.0,201,81,0,59,0,161,False,0,0.0,,[],Ødegaard,1.6,156,53,False,None,14,1.09,a,17,1,3,2021-08-20,146.0,215,119,64,386542,6968,650579,726,0.1,8.2,Ødegaard,0
1,2002-03-10,6,195,True,True,100,75,6,0.55,11,248857,3,,0,0,-2,2,276.9,137,91,58,5.29,None,,2,3,2.0,1.1,1,2.14,0.2,3.17,0.29,1.03,11.03,1.01,0.09,Noni,1.0,267,128,9,0.82,2,False,79.8,171,87,18,False,202.0,285,120,,987,,2026-04-16T13:00:09.580957Z,68,44,28,p248857,0,0,None,0,,248857.jpg,2.5,276,116,0,26,0,241,False,0,0.0,,[],Madueke,0.8,214,73,False,None,14,1.28,a,21,1,3,2025-07-18,320.0,88,51,56,377443,2346,427499,1694,0.1,8.2,Madueke,0
4,2001-06-18,1,163,True,True,100,100,2,0.19,13,444145,None,,0,0,-2,2,158.5,214,137,68,6.53,None,,0,3,2.0,1.5,1,1.02,0.1,4.89,0.47,3.87,8.89,0.85,0.37,Gabriel,1.0,268,129,7,0.67,1,False,66.0,219,107,19,False,170.6,314,139,Gabriel Martinelli,937,,2025-12-24T02:30:10.584394Z,68,45,29,p444145,0,0,None,0,,444145.jpg,1.8,386,165,0,44,0,30,False,0,0.0,,[],Martinelli Silva,0.9,207,71,False,None,10,0.96,a,11,1,3,2019-07-15,337.0,81,46,49,194413,1190,271355,916,0.1,7.2,Martinelli,2
5,1994-12-04,9,365,True,True,100,100,8,0.42,26,116216,None,,0,0,-5,5,478.5,50,43,121,6.31,None,,2,3,2.0,1.5,1,2.80,0.15,7.76,0.41,4.96,12.23,0.64,0.26,Leandro,1.0,265,127,15,0.78,5,False,134.6,53,35,20,False,424.6,136,45,,1727,,2026-03-24T00:00:10.597737Z,65,48,30,p116216,0,0,4,0,,116216.jpg,3.6,113,52,0,69,0,21,False,0,0.0,,[],Trossard,0.8,222,76,False,None,18,0.94,a,26,1,3,2023-01-20,440.0,50,30,101,543359,2454,511100,1586,0.2,15.5,Trossard,1
9,1999-01-14,23,734,True,True,100,100,14,0.46,110,204480,1,,0,0,7,-7,973.5,3,3,335,10.92,1,,5,3,4.0,3.5,2,6.83,0.22,9.98,0.32,3.15,21.33,0.7,0.1,Declan,3.0,133,54,25,0.82,4,False,202.9,10,7,21,True,768.0,16,5,,2760,,2026-03-30T10:00:10.659246Z,72,31,18,p204480,0,0,None,0,,204480.jpg,5.3,8,4,0,163,0,241,False,0,0.0,,[],Rice,25.0,12,4,False,None,31,1.01,a,62,1,3,2023-07-15,286.0,102,63,169,7225901,106272,5311329,55872,0.4,23.5,Rice,2
3,1996-06-22,5,238,True,True,0,0,4,0.36,30,195384,None,,0,0,-6,6,187.0,192,127,111,10.03,None,,1,3,0.0,0.0,0,1.45,0.13,4.44,0.4,2.99,6.59,0.6,0.27,Mikel,0.0,780,342,9,0.81,4,False,72.6,194,94,22,False,304.4,215,91,,996,Foot injury - Unknown return date,2026-02-02T11:30:08.998402Z,54,161,101,p195384,0,0,None,0,,195384.jpg,3.1,194,77,0,55,0,200,False,0,0.0,https://www.arsenal.com/news/arteta-gives-update-saka-odegaard-and-merino?utm_source=premier_league&utm_medium=referral&utm_campaign=fantasy&utm_content=injuries-flag,[],Merino Zazón,0.8,223,77,False,None,10,0.9,i,26,1,3,2024-08-27,237.0,124,72,66,836028,7,845411,618,0.0,12.2,Merino,1
0,2000-05-30,0,0,False,True,0,0,0,0,0,438098,None,,0,0,-1,1,0.0,809,359,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Fábio,0.0,784,344,0,0,0,False,0.0,810,359,23,False,0.0,810,359,,0,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321Z,54,168,106,p438098,0,0,None,0,,438098.jpg,0.0,811,360,0,0,0,173,False,0,0,,[],Ferreira Vieira,0.0,693,278,False,None,0,0,u,0,1,3,2022-06-21,0.0,807,358,0,933,0,4436,0,0.0,0.0,Fábio Vieira,0
0,1994-03-10,0,19,True,True,100,100,0,0.0,7,128295,None,,0,0,-4,4,0.4,484,234,11,17.68,None,,0,3,1.0,0.5,0,0.00,0.0,0.05,0.08,0.05,2.23,3.58,0.08,Christian,0.0,757,327,1,1.61,0,False,2.4,471,213,24,False,15.8,458,204,,56,,2025-08-18T08:00:05.297235Z,51,221,135,p128295,0,0,None,0,,128295.jpg,1.0,502,230,0,4,0,58,False,0,0.0,,[],Nørgaard,0.1,448,153,False,None,0,0.0,a,0,1,3,2025-07-10,7.0,432,208,6,7969,57,61629,63,0.0,1.2,Nørgaard,0
0,2007-03-21,0,20,False,True,0,0,1,0.55,1,499175,None,,0,0,-5,5,22.5,394,198,13,7.09,None,,0,3,0.0,0.0,0,0.08,0.04,0.31,0.17,0.23,0.73,0.4,0.13,Ethan,0.0,747,319,0,0.0,0,False,5.4,452,203,25,False,8.6,472,211,,165,has joined Marseille on loan for the rest of the season.,2026-01-23T17:18:55.073277Z,50,271,165,p499175,0,0,None,0,,499175.jpg,1.3,437,195,0,10,0,241,False,0,0.0,,[],Nwaneri,0.1,462,157,False,None,0,0.0,u,2,1,3,2022-09-17,24.0,381,191,8,13149,0,37130,21,0.0,1.6,Nwaneri,0
1,1999-02-02,9,556,True,True,100,100,15,0.49,114,481655,None,,0,0,-5,5,341.1,96,69,279,9.11,None,,1,3,4.0,3.5,4,2.20,0.07,4.97,0.16,2.77,23.61,0.77,0.09,Martín,3.0,121,44,24,0.78,5,False,116.9,80,49,26,False,564.0,65,18,,2755,,2026-03-30T10:00:10.681664Z,50,265,161,p481655,0,0,None,0,,481655.jpg,3.7,98,41,0,104,0,200,False,0,0.0,,[],Zubimendi Ibáñez,3.1,114,36,False,None,32,1.05,a,61,1,3,2025-07-06,262.0,110,65,123,1345846,9702,1269134,11114,0.6,24.6,Zubimendi,4
0,2005-12-10,0,0,False,True,0,0,0,0,0,588796,None,,0,0,0,0,0.0,733,307,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Ismeal,0.0,649,247,0,0,0,False,0.0,740,307,28,False,0.0,740,307,,0,has joined Shrewsbury Town on loan for the rest of the season.,2025-09-02T13:24:41.013511Z,45,489,300,p588796,0,0,None,0,,588796.jpg,0.0,742,309,0,0,0,152,False,0,0,,[],Kabia,0.1,499,178,False,None,0,0,u,0,1,3,2024-09-14,0.0,720,303,0,6731,0,30325,10,0.0,0.0,Kabia,0
0,1999-10-22,0,0,False,True,0,0,0,0,0,437742,None,,0,0,0,0,0.0,693,272,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Albert,0.0,599,206,0,0,0,False,0.0,699,271,29,False,0.0,697,269,,0,has joined Hamburger permanently.,2025-09-02T13:40:53.094922Z,45,433,256,p437742,0,0,None,0,,437742.jpg,0.0,703,275,0,0,0,21,False,0,0,,[],Sambi Lokonga,0.0,591,222,False,None,0,0,u,0,1,3,2021-07-19,0.0,676,265,0,2952,0,14131,10,0.0,0.0,Sambi,0
1,1999-06-11,0,73,True,True,100,100,3,0.67,7,219847,None,,0,0,-2,2,51.0,352,43,24,5.35,None,,0,4,4.5,4.0,6,0.10,0.02,2.62,0.58,2.52,4.47,1.0,0.56,Kai,3.5,107,14,3,0.67,1,False,25.6,369,45,30,False,71.6,399,45,,404,,2026-03-03T15:00:09.717320Z,73,27,11,p219847,0,0,None,0,,219847.jpg,2.4,294,33,0,12,0,80,False,0,0.0,,[],Havertz,1.0,199,30,False,None,5,1.11,a,5,1,3,2023-06-28,132.0,232,46,19,156393,35007,208687,1789,0.5,2.6,Havertz,0
0,1997-04-03,0,73,True,True,100,100,0,0.0,4,205651,None,,0,0,-1,1,36.4,375,49,26,7.36,None,,0,4,1.5,1.0,0,0.23,0.07,2.06,0.59,1.83,3.57,1.01,0.52,Gabriel,0.5,327,43,6,1.7,2,False,36.9,324,38,31,False,107.0,368,38,Gabriel Jesus,318,,2025-07-21T10:00:04.697564Z,64,55,20,p205651,0,0,None,0,,205651.jpg,1.5,419,50,0,18,0,30,False,0,0.0,,[],Fernando de Jesus,0.3,313,49,False,None,2,0.57,a,4,1,3,2022-07-04,228.0,132,31,18,149501,644,130582,880,0.1,2.8,G.Jesus,2
3,1998-06-29,8,370,True,True,100,100,8,0.45,21,232413,None,,0,0,-3,3,262.4,146,97,107,6.01,None,,3,3,2.5,2.0,2,2.51,0.14,6.47,0.36,3.96,12.15,0.68,0.22,Eberechi,1.5,218,104,13,0.73,6,False,97.9,118,68,266,False,345.2,189,75,,1603,,2026-03-23T13:00:10.523004Z,72,32,19,p232413,0,0,None,0,,232413.jpg,3.5,128,56,0,68,0,241,False,0,0.0,,[],Eze,8.1,46,17,False,None,18,1.01,a,18,1,3,2025-08-23,374.0,71,42,97,3411064,29146,3819468,5215,0.2,13.5,Eze,1
0,2004-06-27,1,158,True,True,100,100,2,0.24,51,500040,None,,0,0,-2,2,53.2,349,123,77,9.19,None,,0,2,1.5,1.0,0,0.51,0.06,0.61,0.07,0.10,6.86,0.82,0.01,Cristhian,0.5,319,104,7,0.84,0,False,23.4,378,130,662,False,166.6,318,122,,754,,2025-12-04T09:00:09.512338Z,53,198,25,p500040,0,0,None,0,,500040.jpg,1.8,385,142,0,28,0,200,False,0,0.0,,[],Mosquera,0.2,401,151,False,None,7,0.84,a,26,1,3,2025-07-24,14.0,405,149,29,49930,1648,53851,313,0.1,5.5,Mosquera,3
0,1998-06-04,13,391,True,True,100,100,10,0.45,20,224117,None,,0,0,-2,2,214.4,175,14,73,3.31,None,,3,4,4.0,3.5,1,1.77,0.08,12.01,0.54,10.25,15.04,0.68,0.46,Viktor,3.0,134,19,13,0.59,12,False,130.4,60,13,666,False,440.0,130,13,,1984,,2025-11-01T18:00:08.847750Z,88,8,4,p224117,0,0,2,0,,224117.jpg,3.5,130,12,0,47,0,206,False,0,0.0,,[],Gyökeres,12.5,29,7,False,None,24,1.09,a,6,1,3,2025-07-26,658.0,24,14,107,3664942,91118,5224398,22418,0.3,12.2,Gyökeres,5
1,2009-12-31,0,43,True,True,100,100,0,0.0,0,616077,None,,0,0,-3,3,38.4,371,190,7,7.97,None,,0,3,1.5,1.0,0,0.14,0.16,1.25,1.42,1.11,0.67,0.76,1.26,Max,0.5,292,140,1,1.14,1,False,13.7,406,184,700,False,41.2,427,186,,79,,2025-12-10T00:00:08.266774Z,42,651,373,p616077,0,0,None,0,,616077.jpg,3.0,199,79,0,5,0,241,False,0,0.0,,[],Dowman,1.0,198,69,False,None,0,0.0,a,2,1,3,2025-07-22,57.0,329,172,12,232975,6739,161230,4638,0.1,2.9,Dowman,0
0,2007-12-28,0,0,True,True,None,None,0,0,0,646243,None,,0,0,-1,1,0.0,681,266,0,0,None,,0,3,1.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Andre,0.0,582,199,0,0,0,False,0.0,688,265,711,False,0.0,686,263,,0,,None,44,573,345,p646243,0,0,None,0,,646243.jpg,0.0,692,269,0,0,0,241,False,0,0,,[],Harriman-Annous,0.0,708,288,False,None,0,0,a,0,1,3,2025-07-22,0.0,662,258,0,1978,11,1895,10,0.0,0.0,Harriman-Annous,0
2,2002-01-09,6,289,True,True,100,100,4,0.23,108,448104,None,,0,0,-4,4,169.2,209,54,150,8.5,None,,2,2,1.5,1.0,1,1.40,0.08,1.73,0.1,0.33,15.55,0.88,0.02,Piero,0.5,317,103,18,1.02,1,False,63.1,232,80,725,False,405.0,151,67,,1589,,2026-03-30T10:00:11.369303Z,51,234,35,p448104,1,0,None,0,,448104.jpg,3.4,140,53,0,56,0,62,False,0,0.0,,[],Hincapié,0.8,216,84,False,None,18,1.02,a,42,1,3,2025-09-01,59.0,327,104,75,555761,10663,471701,2376,0.1,14.7,Hincapie,2
0,2009-08-29,0,0,True,True,None,None,0,0,0,616065,None,,0,0,0,0,0.0,618,243,0,0,None,,0,2,1.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Marli,0.0,478,193,0,0,0,False,0.0,627,243,759,False,0.0,625,243,,0,,None,40,735,204,p616065,0,0,None,0,,616065.jpg,0.0,635,243,0,0,0,241,False,0,0,,[],Salmon,0.0,673,237,False,None,0,0,a,0,1,3,2025-07-22,0.0,588,240,0,1481,25,1365,28,0.0,0.0,Salmon,0
0,1992-09-02,10,462,True,True,100,100,7,0.25,26,98980,None,,0,0,1,-1,13.2,415,5,0,0.0,None,,3,1,1.0,1.0,2,0.07,0.0,0.07,0.0,0.00,37.53,1.36,0.0,Emiliano,1.0,246,19,32,1.16,0,False,65.8,221,11,32,False,645.4,47,11,,2475,,2026-04-12T21:30:08.032006Z,51,220,6,p98980,0,0,None,1,,98980.jpg,3.8,86,10,0,236,0,10,False,80,2.91,,[],Martínez Romero,4.8,81,14,False,None,28,1.02,a,0,2,7,2020-09-16,0.0,798,91,107,1079010,33211,743848,9475,0.2,21.0,Martinez,2
0,1991-03-10,0,65,True,True,100,100,1,0.18,7,72147,None,,0,0,-3,3,0.0,629,80,0,0.0,None,,0,1,1.5,1.5,0,0.00,0.0,0.00,0.0,0.00,9.68,1.76,0.0,Marco,1.5,195,15,9,1.64,0,False,11.8,418,27,33,False,118.2,355,27,,495,,2026-02-15T00:30:06.693638Z,42,628,29,p72147,0,0,None,0,,72147.jpg,2.3,298,28,0,50,0,152,False,17,3.09,,[],Bizot,0.4,295,40,False,None,5,0.91,a,0,2,7,2025-07-15,0.0,601,66,14,84953,467,116571,275,0.4,3.3,M.Bizot,2
0,2000-07-04,0,0,False,True,0,0,0,0,0,462492,None,,0,0,0,0,0.0,579,62,0,0,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Joe,0.0,434,63,0,0,0,False,0.0,589,74,34,False,0.0,587,74,,0,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391Z,40,689,52,p462492,0,0,None,0,,462492.jpg,0.0,598,74,0,0,0,13,False,0,0,,[],Gauci,0.1,510,75,False,None,0,0,u,0,2,7,2024-02-01,0.0,548,48,0,0,0,17677,49,0.0,0.0,Gauci,0
0,2003-04-24,0,0,False,True,0,0,0,0,0,462381,None,,0,0,0,0,0.0,578,61,0,0,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Filip,0.0,433,62,0,0,0,False,0.0,588,73,35,False,0.0,586,73,,0,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,40,688,51,p462381,0,0,None,0,,462381.jpg,0.0,597,73,0,0,0,241,False,0,0,,[],Marschall,0.0,757,88,False,None,0,0,u,0,2,7,2021-12-13,0.0,547,47,0,0,0,1289,4,0.0,0.0,Marschall,0
2,1997-08-07,6,404,True,True,100,100,8,0.27,109,199796,3,,0,0,2,-2,427.6,63,10,162,5.56,None,,2,2,1.0,1.0,1,2.72,0.09,3.85,0.13,1.13,40.07,1.38,0.04,Matty,1.0,238,80,31,1.06,3,False,119.9,76,15,36,False,558.0,69,32,,2622,,2026-03-05T00:00:08.205820Z,47,382,64,p199796,0,0,None,0,,199796.jpg,3.6,107,37,0,80,0,172,False,0,0.0,,[],Cash,8.4,45,14,False,None,30,1.03,a,53,2,7,2020-09-03,213.0,144,28,108,2935368,39940,2270717,17428,0.2,23.0,Cash,8
